,text,labels
0,The development of the covid-19 vaccine hinged on accelerated timelines ― and hyperconverged infrastructure from Nutanix AHV helped to make that possible for one Contract Research Organization.  http  http,2
1,I voted for Not a chance. Too many unknowns about risks/side effects - Poll: Should kids (aged 6 months to 5 years old) be getting the COVID-19 vaccine?  http,0
2,Scientists and medical experts worked to ensure the #vaccine is safe for children and adolescents ages 6mo to 17yo.   To find #COVID-19 vaccines for kids:  ❓ Check with your child’s doctor 🔍 Visit  http 💬 text your ZIP code to 438829 📞 Call 1-800-232-0233  http,1
3,Ontario hospitals plan to uphold COVID-19 vaccine policies amid 'crisis' staffing shortages  http via @user via @user #onpoli,1
4,"@user Dillon Quirke had heart problems for years, before the COVID-19 vaccines were invented. In 2018, Quirke took a break from hurling after he contracted viral myocarditis.",0
5,"CDC Claims Link Between Heart Inflammation and COVID-19 Vaccines Wasn’t Known for Most of 2021  ""CDC officials made the claim, which is false, in response to a Freedom of Information Act request""  http",0
6,@user @user @user 40% of the people who have died since covid-19 vaccines started have been vaxxed!,1
7,Health Care Workers Who Sued Over COVID-19 Vaccine Mandate Win $10 Million Settlement  http via @user,1
8,"COVID-19 threat looms as Butler County cases trend upward  -- News, Social Impact | The Perfect Enemy:  http  #Vaccines",2
9,"RT @user The #COVIDVaccines authorized by @user are safe and effective. They protect you, your family, and your community from COVID-19. More info about vaccines for #Indigenous Peoples:  ➡️  http  http",2
10,"The long-awaited authorization of COVID-19 vaccines for children under age 5 finally arrived on June 17th. As of 7/29/22, over a month later, only 4.1% of kids ages 0-4 in New York State have received at least one dose.  We need to educate parents, and vax with greater urgency.  http",0
11,$NVAX – The drugmaker’s stock plummeted 32.3% in the premarket after posting an unexpected quarterly loss and cutting its full-year revenue guidance in half. Novavax said it did not expect any further U.S. sales of its Covid-19 vaccine this year amid soft demand and a supply glut,0
12,"To qualify as a fully vaccinated traveller to Canada, an individual must have received their second dose of a COVID-19 vaccine at least 14 days prior to entering Canada.  #NovakDjokovic #NB022   http",2
13," http According to Fact Blockers, ""All COVID-19 vaccines were tested on animals and there were no safety concerns....at the time.""",0
14,@user Covid 19 vaccine,2
15,"@user @user Le GVT maintient les personnels suspendus et s'oppose ainsi à la justice et à la raison. ➡️La justice, car ces soignants sont maintenus sans aucune ressource. ➡️La raison, car un non-vacciné n'ayant pas le #COVID est moins dangereux qu'un soignant vacciné ayant le #Covid_19",2
16,"Johns Hopkins Coronavirus Resource Center reports on Thursday that there were 313,724 doses of Covid-19 vaccine administered. That's about average for the past two weeks.  Johns Hopkins reports that there were 1,032,820 deaths in the United States.",1
17,"Facilities in Non-Hispanic Black, Rural Counties Less Likely to Administer Early COVID-19 Vaccines - Pharmacy Times  http",1
18,How does the flu vaccine affect the risk of contracting COVID-19?  http,1
19,"COVID-19 update for Aug. 8: Airlines and railways exempted 1,700 travellers from vaccine requirement | Thousands stranded in China resort city amid lockdown  http",1
20,"@user @user I don’t know how help you understand or where you do for your information but the vaccine was not about prevention of infection. It was about reducing your chances of dying from COVID-19. If you were told differently, you were lied to",1
21,Lukewarm interest in COVID-19 vaccine for kids under 5  http,2
22,Does your 6 month to 5 year old need a #COVID vaccine? The #KidsComeFirst #COVID-19 Vaccine Clinic is here for you!   Visit our website to learn more and pre-register now:  http #CovidIsNotOver  http,2
23,"CDC statement, ""protection from the Pfizer and Moderna COVID-19 vaccines starts to fade around 4 months after a booster""... yet the gov is pushing this on babies to protect them for a short time!!! And then what 30 shots by age 10? WAKE UP PARENTS!!! #vaccineinjuries #FauciLied",0
24,"Covid-19 Vaccination Sites:  ✅ Alachua 🚨 Tuesday, August 9  ✅ Hawthorne 🚨 Wednesday, August 10  ✅ Jacksonville 🚨 Saturday, August 13  (See locations and hours below)  #COVID19 #Vaccines #Boosters #Alachua #Hawthorne #Jacksonville #Florida",2
25,"What use are you on health matters? still silent! @user @user @user @user @user @user   UK Medicine Regulator confirms COVID-19 Vaccines are at least a shocking 7,402% deadlier than all other Vaccines combined  http",0
26,"COVID-19 UPDATE  206.21 crore total vaccine doses (93.55 cr Second Dose and 10.59 cr Precaution Dose) have been administered so far    29,58,617 doses administered in last 24 hours  India's active caseload currently stands at 1,34,933  Active cases stand at 0.31%  http",1
27,"Effective September 21st, our vaccine clinics will only be offering the Moderna Covid-19 vaccine.   Please note: There may be limited supply of Pfizer and J&amp;J as we make this transition.   Visit  http for locations nearest you, if you'd like other vaccines.  http",2
28,About 67% migrant &amp; refugee women relied on media for obtaining  information about COVID-19 vaccines while only 17% accessed information via health care providers. #BreakingtheBarriers report reflects cracks in the healthcare system in Victoria. Read more  http  http,0
29,"@user @user LMAO! More people died from covid-19 in Biden's Presidency then Trump's &amp; he had the Vaccine, explain that.",2
30,White House officials say scientists at the nation's top health agencies are looking into expanding vaccine eligibility so that more Americans can get a second booster shot during the latest COVID-19 wave. Agencies weigh 2nd COVID booster for more people; admin urges shots for...  http,2
31,"The #OakPark Health Dept. is hosting a COVID-19 vaccine clinic for children ages 6 months and older. The clinic is set for 4 to 7 p.m. on Tuesday, Aug. 9 at Cheney Mansion. Visit  http to register for an appointment.  http",1
32,"@user @user @user ""MYTH: Researchers rushed the development of the COVID-19 vaccine, so its effectiveness and safety cannot be trusted.""  http",0
33,EXCLUSIVE: CDC Claims Link Between Heart Inflammation and COVID-19 Vaccines Wasn’t Known for Most of 2021   http,2
34,"@user @user @user Birx Admits She Knew COVID-19 Vaccines Were Never ""Going To Protect Against Infection""   http  http",0
35,"Congress:  Useless Covid 19 Vaccines? We have the funding to make that free &amp; as often as CDC says for anyone who wants one, hell let's pay folks to get it.  Also Congress: Need life saving insulin because you are diabetic &amp; poor/low/no income?  Good luck btch socialism is evil.",2
36,"@user 0% of people need a covid-19 vaccine, now that even  your own data shows it DOES NOTHING.  Time to get off the gravy train and dump the vaccines.",0
